Comment,Designator,Footprint,JLCPCB PART#
esp32-s3-wroom-1,U4,ESP32-S3-WROOM-1,C2913199
lipo battery connector,CN1,CONN-TH_B2B-PH-K-S,C131337
voltage regulator,"U1,U2",SOT-223-3_TabPin2,C86781
usb-c conn,USBC1,SOT-223-3_TabPin2,C165948
power multiplexer,U5,SON-8_L3.0-W3.0-P0.65-LS3.0-BL-EP,C354512
MPU-6050,U3,InvenSense_QFN-24_4x4mm_P0.5mm,C24112
led,"D4,D5,D6",LED1206-FD,C28310439
resistor 400 ohm,R2,R0805,C153298
resistor 1k,"R1,R3,R4,R5",R0603,C22548
resistor 5.1k,"R6,R7,R8,R9,R10",R0603,C23186
capacitor 100uF,"C1,C4,C5,C8",C1206,C15008
capacitor 10uF,"C2,C6",C1206,C89632
capacitor 22uF,"C3,C7,C11",C1206,C12891
capacitor 0.1uF,"C9,C10,C12,C14",C1206,C24497
capacitor 10nF,C13,C1206,C107192
capacitor 2.2nF,C15,C1206,C107194
switch button,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,C720477
header pin X10,"H1,H2,H3,H4",HDR-TH_10P-P2.54-V-M,C42431810
header pin x4,"H5,H6,H7,H8",HDR-TH_4P-HX-PH254-01-04-Z-L11.5,C52016392